artist,album,album_art,scrobb_num
Annie DiRusso,Legs,https://lastfm.freetls.fastly.net/i/u/300x300/436dbe1c3d97fde6f30cf05333b1f20d.jpg,1
Annie Hamilton,stop and smell the lightning,https://lastfm.freetls.fastly.net/i/u/300x300/9fd55b1d01566c11707e630d0891c145.jpg,17
Annie Lennox,Diva,https://lastfm.freetls.fastly.net/i/u/300x300/4fcc1f5caffe93a3159880eabff2e9e2.jpg,2
Annika Catharina,Love and Hate,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Another Michael,Another Michael on Audiotree Live,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,10
Another Michael,Hub of Dreams,https://lastfm.freetls.fastly.net/i/u/300x300/a095aae71daf6ccd14fd63a7df9802f7.jpg,2
Another Michael,I'm Your Roommate,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Another Michael,Land,https://lastfm.freetls.fastly.net/i/u/300x300/79b63ecb609d6205e14c467c9656fe5f.jpg,1
Another Michael,New Music and Big Pop,https://lastfm.freetls.fastly.net/i/u/300x300/13c7fd1f262f78002ecf35137a84e334.jpg,22
Another Michael,"Pick Me Up, Turn Me Upside Down",https://lastfm.freetls.fastly.net/i/u/300x300/399822668869103a12aad545f067bda8.jpg,43
Another Michael,Sans,https://lastfm.freetls.fastly.net/i/u/300x300/a1581e01780ab0e8839d34e617f58e55.jpg,1
Another Michael,We're Sweating All the Time,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Another Michael,Wishes to Fulfill,https://lastfm.freetls.fastly.net/i/u/300x300/fba6fe68517ef2fcc5dda181278ef227.jpg,71
Anthony Green,Doom. Spun.,https://lastfm.freetls.fastly.net/i/u/300x300/2fc8378d4c4427f497889ec5cd96be17.jpg,1
Antsy Pants,Juno - Music From The Motion Picture,https://lastfm.freetls.fastly.net/i/u/300x300/024dbec2462155c0d64c30a691753dba.jpg,2
Antônio Neves,A Pegada Agora É Essa (The Sway Now),https://lastfm.freetls.fastly.net/i/u/300x300/f2318399fd8e89c4012f765597fe70aa.jpg,1
Anycia,PRINCESS POP THAT,https://lastfm.freetls.fastly.net/i/u/300x300/7c8125340099dc1a882f3d2c8da45d2f.jpg,1
Aoife O'Donovan,Loretta,https://lastfm.freetls.fastly.net/i/u/300x300/7fa24416e1494f5c92fce6278ebedfe3.jpg,1
April March,Lift Off,https://lastfm.freetls.fastly.net/i/u/300x300/e0db2e2594c6b273df52fb932429675f.jpg,1
Arcade Fire,Funeral,https://lastfm.freetls.fastly.net/i/u/300x300/36157c4a4a9f4480beed9e2c86b588cf.png,1
Arcade Fire,The Suburbs,https://lastfm.freetls.fastly.net/i/u/300x300/17afeed886cd4df7b0137ef51ced4679.png,1
Arctic Monkeys,Suck It and See,https://lastfm.freetls.fastly.net/i/u/300x300/e8faaf58a491491ea00e6d3b7ac5d7db.png,1
