id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10528,"Charlotte Day Wilson, Snoh Aalegra",Forever,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/fc9c64f1fb07a3976aa9e33ef8d9431a.jpg,0,1714752903
10529,Charlotte Day Wilson,Dovetail,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752683
10530,Charlotte Day Wilson,Money,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752470
10531,Charlotte Day Wilson,My Way,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752259
10532,Charlotte Day Wilson,My Way,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752258
10533,Charlotte Day Wilson,My Way,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752257
10534,Abby Sage,Soak,The Rot,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/50577555f085714f5a693dae0b91035b.jpg,0,1714752002
10535,Camera Obscura,"Lloyd, I'm Ready To Be Heartbroken",Let's Get Out Of This Country,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/8effc9a711944d650acce16e01562b1b.png,0,1714751769
10536,Camera Obscura,"Look to the East, Look to the West","Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714751502
10537,Camera Obscura,"Look to the East, Look to the West","Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714751501
10538,Camera Obscura,Sugar Almond,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714751278
10539,Camera Obscura,Pop Goes Pop,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714751004
10540,Camera Obscura,Denon,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750789
